"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","symbol","ENTREZID"
5.97622934158331e-23,1.04971766976335,0.393,0.215,1.10470599379168e-18,"up","Gm43305","108168162"
6.78054997097902e-23,0.442466913201942,0.837,0.76,1.25338466213547e-18,"up","Dbi","13167"
3.10565862803687e-22,0.509832566685959,0.748,0.636,5.74080997392616e-18,"up","Rps27l","67941"
5.89271582177278e-22,0.527245944951534,0.682,0.548,1.0892685196547e-17,"up","Mrpl52","68836"
6.55567634073624e-22,0.467321879915192,0.79,0.686,1.21181677158509e-17,"up","Uqcrq","22272"
7.5599904735689e-22,0.26218807830931,0.983,0.968,1.39746423903921e-17,"up","Rpl28","19943"
1.0287648834704e-21,0.317102925178255,0.992,0.97,1.90167188709504e-17,"up","Rpl36","54217"
2.21989302740429e-21,0.30352405768622,0.977,0.942,4.10347226115684e-17,"up","Rplp1","56040"
3.48683877068507e-21,-0.431376625565322,0.976,0.982,6.44542146761135e-17,"down","Pigr","18703"
5.33048327519039e-21,0.413745194926394,0.8,0.687,9.85339833418943e-17,"up","Elob","67673"
6.62571183477859e-21,0.310219155602049,0.924,0.857,1.22476283265882e-16,"up","Rpl14","67115"
8.62121636157156e-21,0.351618751748421,0.852,0.759,1.5936318444365e-16,"up","Rpl31","114641"
8.98144403411425e-21,0.720268508440657,0.606,0.469,1.66021992970602e-16,"up","Dpm3","68563"
9.55248614615293e-21,0.471732455926928,0.75,0.659,1.76577706411637e-16,"up","Sec61g","20335"
2.00320131719524e-20,-0.726518991548293,0.626,0.732,3.70291763483541e-16,"down","Ahnak","66395"
2.53130821054726e-20,0.48797257969586,0.773,0.664,4.67912322719662e-16,"up","Ndufa4","17992"
2.65732516544708e-20,0.618942877283799,0.776,0.654,4.91206556832894e-16,"up","Mgst3","66447"
4.59092746484389e-20,0.300082216488746,0.974,0.929,8.48632941876394e-16,"up","Rpl32","19951"
5.13720620130111e-20,0.533982629833678,0.702,0.586,9.4961256631051e-16,"up","Snrpg","68011"
7.41530689999061e-20,0.526823057370451,0.7,0.576,1.37071948046327e-15,"up","Ndufa3","66091"
7.98830680432445e-20,0.621124828469184,0.714,0.58,1.47663851277937e-15,"up","S100a11","20195"
1.35192497260097e-19,0.31890088487762,0.957,0.929,2.49903331185289e-15,"up","Rps24","20088"
5.34192135429877e-19,0.682829808980206,0.581,0.433,9.87454162342128e-15,"up","Mrps21","66292"
6.48551827239325e-19,0.595352094589697,0.635,0.503,1.19884805265189e-14,"up","Nop10","66181"
1.82779953604654e-18,0.248713584901733,0.975,0.944,3.37868744238204e-14,"up","Rpl26","19941"
4.06891724365298e-18,0.365825921309448,0.842,0.76,7.52139352489252e-14,"up","Cox5b","12859"
5.1478225638258e-18,-0.584108598876301,0.442,0.607,9.51575000923199e-14,"down","Mptx1","66289"
6.04062422189524e-18,0.486020535445288,0.745,0.63,1.11660938741734e-13,"up","Hspe1","15528"
